  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = Nsig ~ Feather + IndividualID, data = savana)

$Feather
            diff        lwr        upr     p adj
R3-P1 -0.9171429 -1.5775168 -0.2567690 0.0045740
S6-P1 -1.1865714 -1.8551490 -0.5179938 0.0002972
S6-R3 -0.2694286 -0.9380062  0.3991490 0.5925810

$IndividualID
                             diff         lwr          upr     p adj
2661-39628-2661-39627  0.92333333 -1.81934589  3.666012555 0.9989327
2661-39629-2661-39627  0.51000000 -2.23267922  3.252679222 0.9999999
2661-39630-2661-39627 -0.24666667 -2.98934589  2.496012555 1.0000000
2661-39635-2661-39627  2.76333333  0.02065411  5.506012555 0.0465276
2661-39639-2661-39627  0.02666667 -2.71601256  2.769345888 1.0000000
2661-39645-2661-39627  0.36333333 -2.37934589  3.106012555 1.0000000
2661-39646-2661-39627  1.83666667 -0.90601256  4.579345888 0.5703300
2661-39648-2661-39627 -0.49000000 -3.23267922  2.252679222 0.9999999
2661-39653-2661-39627  0.40000000 -2.34267922  3.142679222 1.0000000
2661-39658-2661-39627  0.55333333 -2.18934589  3.296012555 0.9999996
2661-39663-2661-39627  0.73666667 -2.00601256  3.479345888 0.9999563
2661-39664-2661-39627  0.80900000 -2.25740859  3.875408590 0.9999667
2661-39667-2661-39627  0.61333333 -2.12934589  3.356012555 0.9999976
2661-39670-2661-39627  1.30333333 -1.43934589  4.046012555 0.9524552
2661-39674-2661-39627  1.35000000 -1.39267922  4.092679222 0.9357455
2661-39675-2661-39627  0.42333333 -2.31934589  3.166012555 1.0000000
2661-39694-2661-39627  1.67666667 -1.06601256  4.419345888 0.7194118
2661-39702-2661-39627 -0.47333333 -3.21601256  2.269345888 1.0000000
2661-39711-2661-39627  0.13333333 -2.60934589  2.876012555 1.0000000
2661-39717-2661-39627 -0.04666667 -2.78934589  2.696012555 1.0000000
2661-39629-2661-39628 -0.41333333 -3.15601256  2.329345888 1.0000000
2661-39630-2661-39628 -1.17000000 -3.91267922  1.572679222 0.9830004
2661-39635-2661-39628  1.84000000 -0.90267922  4.582679222 0.5671540
2661-39639-2661-39628 -0.89666667 -3.63934589  1.846012555 0.9992750
2661-39645-2661-39628 -0.56000000 -3.30267922  2.182679222 0.9999995
2661-39646-2661-39628  0.91333333 -1.82934589  3.656012555 0.9990746
2661-39648-2661-39628 -1.41333333 -4.15601256  1.329345888 0.9072786
2661-39653-2661-39628 -0.52333333 -3.26601256  2.219345888 0.9999998
2661-39658-2661-39628 -0.37000000 -3.11267922  2.372679222 1.0000000
2661-39663-2661-39628 -0.18666667 -2.92934589  2.556012555 1.0000000
2661-39664-2661-39628 -0.11433333 -3.18074192  2.952075257 1.0000000
2661-39667-2661-39628 -0.31000000 -3.05267922  2.432679222 1.0000000
2661-39670-2661-39628  0.38000000 -2.36267922  3.122679222 1.0000000
2661-39674-2661-39628  0.42666667 -2.31601256  3.169345888 1.0000000
2661-39675-2661-39628 -0.50000000 -3.24267922  2.242679222 0.9999999
2661-39694-2661-39628  0.75333333 -1.98934589  3.496012555 0.9999387
2661-39702-2661-39628 -1.39666667 -4.13934589  1.346012555 0.9154353
2661-39711-2661-39628 -0.79000000 -3.53267922  1.952679222 0.9998764
2661-39717-2661-39628 -0.97000000 -3.71267922  1.772679222 0.9979958
2661-39630-2661-39629 -0.75666667 -3.49934589  1.986012555 0.9999346
2661-39635-2661-39629  2.25333333 -0.48934589  4.996012555 0.2284699
2661-39639-2661-39629 -0.48333333 -3.22601256  2.259345888 1.0000000
2661-39645-2661-39629 -0.14666667 -2.88934589  2.596012555 1.0000000
2661-39646-2661-39629  1.32666667 -1.41601256  4.069345888 0.9445369
2661-39648-2661-39629 -1.00000000 -3.74267922  1.742679222 0.9970816
2661-39653-2661-39629 -0.11000000 -2.85267922  2.632679222 1.0000000
2661-39658-2661-39629  0.04333333 -2.69934589  2.786012555 1.0000000
2661-39663-2661-39629  0.22666667 -2.51601256  2.969345888 1.0000000
2661-39664-2661-39629  0.29900000 -2.76740859  3.365408590 1.0000000
2661-39667-2661-39629  0.10333333 -2.63934589  2.846012555 1.0000000
2661-39670-2661-39629  0.79333333 -1.94934589  3.536012555 0.9998686
2661-39674-2661-39629  0.84000000 -1.90267922  3.582679222 0.9997031
2661-39675-2661-39629 -0.08666667 -2.82934589  2.656012555 1.0000000
2661-39694-2661-39629  1.16666667 -1.57601256  3.909345888 0.9834909
2661-39702-2661-39629 -0.98333333 -3.72601256  1.759345888 0.9976251
2661-39711-2661-39629 -0.37666667 -3.11934589  2.366012555 1.0000000
2661-39717-2661-39629 -0.55666667 -3.29934589  2.186012555 0.9999995
2661-39635-2661-39630  3.01000000  0.26732078  5.752679222 0.0189739
2661-39639-2661-39630  0.27333333 -2.46934589  3.016012555 1.0000000
2661-39645-2661-39630  0.61000000 -2.13267922  3.352679222 0.9999978
2661-39646-2661-39630  2.08333333 -0.65934589  4.826012555 0.3489007
2661-39648-2661-39630 -0.24333333 -2.98601256  2.499345888 1.0000000
