IndividualID,Age,Sex,subspecies,Feather,Nsig
2661_39624,Adult,Male,monachus,P1,8.05
2661-39657,Adult,Male,monachus,P1,7.97
2661-39659,Juvenile,Unknown,monachus,P1,7.7
2661-39680,Adult,Male,monachus,P1,9.07
2661-39709,Adult,Male,monachus,P1,8.59
2661-39710,Adult,Female,monachus,P1,
2661-39627,Adult,Female,savana,P1,9.18
2661-39628,Adult,Female,savana,P1,9.86
2661-39629,Adult,Male,savana,P1,10.2
2661-39630,Adult,Male,savana,P1,9.26
2661-39635,Adult,Male,savana,P1,12.35
2661-39639,Adult,Male,savana,P1,9.72
2661-39645,Adult,Male,savana,P1,8.78
2661-39646,Adult,Male,savana,P1,10.96
2661-39648,Adult,Female,savana,P1,9.69
2661-39653,Adult,Male,savana,P1,9.27
2661-39658,Adult,Female,savana,P1,10.64
2661-39663,Adult,Female,savana,P1,9.84
2661-39664,Adult,Male,savana,P1,9.06
2661-39667,Juvenile,Male,savana,P1,8.86
2661-39670,Adult,Female,savana,P1,10.98
2661-39674,Adult,Male,savana,P1,12.15
2661-39675,Juvenile,Unknown,savana,P1,9.23
2661-39694,Adult,Female,savana,P1,12.79
2661-39702,Adult,Female,savana,P1,9.33
2661-39711,Adult,Female,savana,P1,8.22
2661-39717,Adult,Male,savana,P1,8.13
2661_39624,Adult,Male,monachus,S6,8.86
2661-39657,Adult,Male,monachus,S6,10.02
2661-39659,Juvenile,Unknown,monachus,S6,7.72
2661-39680,Adult,Male,monachus,S6,8.83
2661-39709,Adult,Male,monachus,S6,9.73
2661-39710,Adult,Female,monachus,S6,
2661-39627,Adult,Female,savana,S6,8.34
2661-39628,Adult,Female,savana,S6,9.16
2661-39629,Adult,Male,savana,S6,7.27
2661-39630,Adult,Male,savana,S6,8.06
2661-39635,Adult,Male,savana,S6,10.69
2661-39639,Adult,Male,savana,S6,7.79
2661-39645,Adult,Male,savana,S6,9.15
2661-39646,Adult,Male,savana,S6,10.51
2661-39648,Adult,Female,savana,S6,7.47
2661-39653,Adult,Male,savana,S6,8.46
2661-39658,Adult,Female,savana,S6,8.52
2661-39663,Adult,Female,savana,S6,9.61
2661-39664,Adult,Male,savana,S6,
2661-39667,Juvenile,Male,savana,S6,9.64
2661-39670,Adult,Female,savana,S6,9.12
2661-39674,Adult,Male,savana,S6,8.31
2661-39675,Juvenile,Unknown,savana,S6,9.12
2661-39694,Adult,Female,savana,S6,9.13
2661-39702,Adult,Female,savana,S6,7.54
2661-39711,Adult,Female,savana,S6,9.33
2661-39717,Adult,Male,savana,S6,7.62
2661_39624,Adult,Male,monachus,R3,8.63
2661-39657,Adult,Male,monachus,R3,10.06
2661-39659,Juvenile,Unknown,monachus,R3,7.57
2661-39680,Adult,Male,monachus,R3,8.57
2661-39709,Adult,Male,monachus,R3,
2661-39710,Adult,Female,monachus,R3,9.01
2661-39627,Adult,Female,savana,R3,8.29
2661-39628,Adult,Female,savana,R3,9.56
2661-39629,Adult,Male,savana,R3,9.87
2661-39630,Adult,Male,savana,R3,7.75
2661-39635,Adult,Male,savana,R3,11.06
2661-39639,Adult,Male,savana,R3,8.38
2661-39645,Adult,Male,savana,R3,8.97
2661-39646,Adult,Male,savana,R3,9.85
2661-39648,Adult,Female,savana,R3,7.18
2661-39653,Adult,Male,savana,R3,9.28
2661-39658,Adult,Female,savana,R3,8.31
2661-39663,Adult,Female,savana,R3,8.57
2661-39664,Adult,Male,savana,R3,10.25
2661-39667,Juvenile,Male,savana,R3,9.15
2661-39670,Adult,Female,savana,R3,9.62
2661-39674,Adult,Male,savana,R3,9.4
2661-39675,Juvenile,Unknown,savana,R3,8.73
2661-39694,Adult,Female,savana,R3,8.92
2661-39702,Adult,Female,savana,R3,7.52
2661-39711,Adult,Female,savana,R3,8.66
2661-39717,Adult,Male,savana,R3,9.92
